DiseaseID,DiseaseName,DiseaseDescription,SlimMapping,PathwayNames
MESH:D000361,Agammaglobulinemia,An immunologic deficiency state characterized by an extremely low level of generally all classes of gamma-globulin in the blood.,"['Blood disease', 'Immune system disease', 'Lymphatic disease']",Transcriptional misregulation in cancer
MESH:D010520,Aggressive Periodontitis,"Inflammation and loss of PERIODONTIUM that is characterized by rapid attachment loss and bone destruction in the presence of little local factors such as DENTAL PLAQUE and DENTAL CALCULUS. This highly destructive form of periodontitis often occurs in young people and was called early-onset periodontitis, but this disease also appears in old people.",['Mouth disease'],Vesicle-mediated transport
MESH:D019588,"Aging, Premature","Changes in the organism associated with senescence, occurring at an accelerated rate.",['Signs and symptoms'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D000380,Agranulocytosis,A decrease in the number of GRANULOCYTES; (BASOPHILS; EOSINOPHILS; and NEUTROPHILS).,['Blood disease'],VEGFR2 mediated cell proliferation
MESH:D000382,Agricultural Workers' Diseases,"Diseases in persons engaged in cultivating and tilling soil, growing plants, harvesting crops, raising livestock, or otherwise engaged in husbandry and farming. The diseases are not restricted to farmers in the sense of those who perform conventional farm chores: the heading applies also to those engaged in the individual activities named above, as in those only gathering harvest or in those only dusting crops.",['Occupational disease'],Synthesis of 5-eicosatetraenoic acids
MESH:D015526,AIDS Dementia Complex,"A neurologic condition associated with the ACQUIRED IMMUNODEFICIENCY SYNDROME and characterized by impaired concentration and memory, slowness of hand movements, ATAXIA, incontinence, apathy, and gait difficulties associated with HIV-1 viral infection of the central nervous system. Pathologic examination of the brain reveals white matter rarefaction, perivascular infiltrates of lymphocytes, foamy macrophages, and multinucleated giant cells. (From Adams et al., Principles of Neurology, 6th ed, pp760-1; N Engl J Med, 1995 Apr 6;332(14):934-40)","['Immune system disease', 'Mental disorder', 'Nervous system disease', 'Viral disease']",Vesicle-mediated transport
MESH:D017088,AIDS-Related Opportunistic Infections,"Opportunistic infections found in patients who test positive for human immunodeficiency virus (HIV). The most common include PNEUMOCYSTIS PNEUMONIA, Kaposi's sarcoma, cryptosporidiosis, herpes simplex, toxoplasmosis, cryptococcosis, and infections with Mycobacterium avium complex, Microsporidium, and Cytomegalovirus.","['Immune system disease', 'Viral disease']",Vpu mediated degradation of CD4
MESH:D000402,Airway Obstruction,Any hindrance to the passage of air into and out of the lungs.,['Respiratory tract disease'],Transcriptional misregulation in cancer
MESH:D000419,Albuminuria,"The presence of albumin in the urine, an indicator of KIDNEY DISEASES.","['Signs and symptoms', 'Urogenital disease (female)', 'Urogenital disease (male)']",Visual phototransduction
MESH:D000435,Alcoholic Intoxication,An acute brain syndrome which results from the excessive ingestion of ETHANOL or ALCOHOLIC BEVERAGES.,"['Mental disorder', 'Substance-related disorder']",Transcriptional misregulation in cancer
MESH:D020751,Alcohol-Induced Disorders,Disorders stemming from the misuse and abuse of alcohol.,['Substance-related disorder'],"Valine, leucine and isoleucine degradation"
MESH:D000437,Alcoholism,"A primary, chronic disease with genetic, psychosocial, and environmental factors influencing its development and manifestations. The disease is often progressive and fatal. It is characterized by impaired control over drinking, preoccupation with the drug alcohol, use of alcohol despite adverse consequences, and distortions in thinking, most notably denial. Each of these symptoms may be continuous or periodic. (Morse & Flavin for the Joint Commission of the National Council on Alcoholism and Drug Dependence and the American Society of Addiction Medicine to Study the Definition and Criteria for the Diagnosis of Alcoholism: in JAMA 1992;268:1012-4)","['Mental disorder', 'Substance-related disorder']",YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D000430,Alcohol Withdrawal Delirium,"An acute organic mental disorder induced by cessation or reduction in chronic alcohol consumption. Clinical characteristics include CONFUSION; DELUSIONS; vivid HALLUCINATIONS; TREMOR; agitation; insomnia; and signs of autonomic hyperactivity (e.g., elevated blood pressure and heart rate, dilated pupils, and diaphoresis). This condition may occasionally be fatal. It was formerly called delirium tremens. (From Adams et al., Principles of Neurology, 6th ed, p1175)","['Mental disorder', 'Nervous system disease', 'Substance-related disorder']","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"
MESH:D020270,Alcohol Withdrawal Seizures,"A condition where seizures occur in association with ethanol abuse (ALCOHOLISM) without other identifiable causes. Seizures usually occur within the first 6-48 hours after the cessation of alcohol intake, but may occur during periods of alcohol intoxication. Single generalized tonic-clonic motor seizures are the most common subtype, however, STATUS EPILEPTICUS may occur. (Adams et al., Principles of Neurology, 6th ed, p1174)","['Nervous system disease', 'Signs and symptoms', 'Substance-related disorder']","Transport of vitamins, nucleosides, and related molecules"
MESH:D038261,Alexander Disease,"Rare leukoencephalopathy with infantile-onset accumulation of Rosenthal fibers in the subpial, periventricular, and subependymal zones of the brain. Rosenthal fibers are GLIAL FIBRILLARY ACIDIC PROTEIN aggregates found in ASTROCYTES. Juvenile- and adult-onset types show progressive atrophy of the lower brainstem instead. De novo mutations in the GFAP gene are associated with the disease with propensity for paternal inheritance.","['Genetic disease (inborn)', 'Metabolic disease', 'Nervous system disease']",Signal Transduction
MESH:D000471,Alkalosis,A pathological condition that removes acid or adds base to the body fluids.,['Metabolic disease'],Signal Transduction
MESH:D000505,Alopecia,Absence of hair from areas where it is normally present.,"['Pathology (anatomical condition)', 'Skin disease']",Wnt signaling pathway
MESH:D000506,Alopecia Areata,Loss of scalp and body hair involving microscopically inflammatory patchy areas.,['Skin disease'],Vesicle-mediated transport
MESH:D019896,alpha 1-Antitrypsin Deficiency,Deficiency of the protease inhibitor ALPHA 1-ANTITRYPSIN that manifests primarily as PULMONARY EMPHYSEMA and LIVER CIRRHOSIS.,"['Digestive system disease', 'Genetic disease (inborn)', 'Pathology (process)', 'Respiratory tract disease']",Vesicle-mediated transport
MESH:D056769,Alstrom Syndrome,"Rare autosomal recessive disease characterized by multiple organ dysfunction. The key clinical features include retinal degeneration (NYSTAGMUS, PATHOLOGIC; RETINITIS PIGMENTOSA; and eventual blindness), childhood obesity, sensorineural hearing loss, and normal mental development. Endocrinologic complications include TYPE 2 DIABETES MELLITUS; HYPERINSULINEMIA; ACANTHOSIS NIGRICANS; HYPOTHYROIDISM; and progressive renal and hepatic failures. The disease is caused by mutations in the ALMS1 gene.","['Congenital abnormality', 'Eye disease', 'Genetic disease (inborn)', 'Nervous system disease']",Regulation of PLK1 Activity at G2/M Transition
MESH:D016301,Alveolar Bone Loss,Resorption or wasting of the tooth-supporting bone (ALVEOLAR PROCESS) in the MAXILLA or MANDIBLE.,"['Mouth disease', 'Musculoskeletal disease']",TNFs bind their physiological receptors
MESH:D000542,"Alveolitis, Extrinsic Allergic","A common interstitial lung disease caused by hypersensitivity reactions of PULMONARY ALVEOLI after inhalation of and sensitization to environmental antigens of microbial, animal, or chemical sources. The disease is characterized by lymphocytic alveolitis and granulomatous pneumonitis.","['Immune system disease', 'Respiratory tract disease']",Peroxisome
MESH:D000544,Alzheimer Disease,"A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)","['Mental disorder', 'Nervous system disease']",Zinc transporters
MESH:D000568,Amenorrhea,Absence of menstruation.,['Pathology (process)'],Steroid hormone biosynthesis
MESH:D000647,Amnesia,"Pathologic partial or complete loss of the ability to recall past experiences (AMNESIA, RETROGRADE) or to form new memories (AMNESIA, ANTEROGRADE). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the DIENCEPHALON or HIPPOCAMPUS. (From Adams et al., Principles of Neurology, 6th ed, pp426-7)","['Mental disorder', 'Nervous system disease', 'Signs and symptoms']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D000648,"Amnesia, Retrograde","Loss of the ability to recall information that had been previously encoded in memory prior to a specified or approximate point in time. This process may be organic or psychogenic in origin. Organic forms may be associated with CRANIOCEREBRAL TRAUMA; CEREBROVASCULAR ACCIDENTS; SEIZURES; DEMENTIA; and a wide variety of other conditions that impair cerebral function. (From Adams et al., Principles of Neurology, 6th ed, pp426-9)","['Mental disorder', 'Nervous system disease', 'Signs and symptoms']",Renin-angiotensin system
MESH:D019969,Amphetamine-Related Disorders,Disorders related or resulting from use of amphetamines.,"['Mental disorder', 'Substance-related disorder']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D028227,"Amyloid Neuropathies, Familial",Inherited disorders of the peripheral nervous system associated with the deposition of AMYLOID in nerve tissue. The different clinical types based on symptoms correspond to the presence of a variety of mutations in several different proteins including transthyretin (PREALBUMIN); APOLIPOPROTEIN A-I; and GELSOLIN.,"['Genetic disease (inborn)', 'Metabolic disease', 'Nervous system disease']",Visual phototransduction
MESH:D000686,Amyloidosis,"A group of sporadic, familial and/or inherited, degenerative, and infectious disease processes, linked by the common theme of abnormal protein folding and deposition of AMYLOID. As the amyloid deposits enlarge they displace normal tissue structures, causing disruption of function. Various signs and symptoms depend on the location and size of the deposits.",['Metabolic disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D000690,Amyotrophic Lateral Sclerosis,"A degenerative disorder affecting upper MOTOR NEURONS in the brain and lower motor neurons in the brain stem and SPINAL CORD. Disease onset is usually after the age of 50 and the process is usually fatal within 3 to 6 years. Clinical manifestations include progressive weakness, atrophy, FASCICULATION, hyperreflexia, DYSARTHRIA, dysphagia, and eventual paralysis of respiratory function. Pathologic features include the replacement of motor neurons with fibrous ASTROCYTES and atrophy of anterior SPINAL NERVE ROOTS and corticospinal tracts. (From Adams et al., Principles of Neurology, 6th ed, pp1089-94)","['Metabolic disease', 'Nervous system disease']",Wnt signaling pathway
MESH:D000707,Anaphylaxis,"An acute hypersensitivity reaction due to exposure to a previously encountered ANTIGEN. The reaction may include rapidly progressing URTICARIA, respiratory distress, vascular collapse, systemic SHOCK, and death.",['Immune system disease'],The NLRP3 inflammasome
MESH:D000740,Anemia,A reduction in the number of circulating ERYTHROCYTES or in the quantity of HEMOGLOBIN.,['Blood disease'],Vpr-mediated nuclear import of PICs
MESH:D000741,"Anemia, Aplastic",A form of anemia in which the bone marrow fails to produce adequate numbers of peripheral blood elements.,['Blood disease'],Viral myocarditis
MESH:D029503,"Anemia, Diamond-Blackfan","A rare congenital hypoplastic anemia that usually presents early in infancy. The disease is characterized by a moderate to severe macrocytic anemia, occasional neutropenia or thrombocytosis, a normocellular bone marrow with erythroid hypoplasia, and an increased risk of developing leukemia. (Curr Opin Hematol 2000 Mar;7(2):85-94)","['Blood disease', 'Genetic disease (inborn)']",Viral mRNA Translation
MESH:D000743,"Anemia, Hemolytic",A condition of inadequate circulating red blood cells (ANEMIA) or insufficient HEMOGLOBIN due to premature destruction of red blood cells (ERYTHROCYTES).,['Blood disease'],Vesicle-mediated transport
MESH:D000744,"Anemia, Hemolytic, Autoimmune",Acquired hemolytic anemia due to the presence of AUTOANTIBODIES which agglutinate or lyse the patient's own RED BLOOD CELLS.,"['Blood disease', 'Immune system disease']","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"
MESH:D029502,"Anemia, Hypoplastic, Congenital",An inborn condition characterized by deficiencies of red cell precursors that sometimes also includes LEUKOPENIA and THROMBOCYTOPENIA.,"['Blood disease', 'Genetic disease (inborn)']","Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
MESH:D018798,"Anemia, Iron-Deficiency","Anemia characterized by decreased or absent iron stores, low serum iron concentration, low transferrin saturation, and low hemoglobin concentration or hematocrit value. The erythrocytes are hypochromic and microcytic and the iron binding capacity is increased.","['Blood disease', 'Metabolic disease']",Vesicle-mediated transport
MESH:D000748,"Anemia, Macrocytic","Anemia characterized by larger than normal erythrocytes, increased mean corpuscular volume (MCV) and increased mean corpuscular hemoglobin (MCH).",['Blood disease'],Wnt signaling pathway
MESH:D000749,"Anemia, Megaloblastic","A disorder characterized by the presence of ANEMIA, abnormally large red blood cells (megalocytes or macrocytes), and MEGALOBLASTS.",['Blood disease'],Vitamin digestion and absorption
MESH:D000751,"Anemia, Neonatal",The mildest form of erythroblastosis fetalis in which anemia is the chief manifestation.,"['Blood disease', 'Infant-newborn disease']",Vesicle-mediated transport
MESH:D000753,"Anemia, Refractory","A severe sometimes chronic anemia, usually macrocytic in type, that does not respond to ordinary antianemic therapy.",['Blood disease'],Type II diabetes mellitus
MESH:D000755,"Anemia, Sickle Cell","A disease characterized by chronic hemolytic anemia, episodic painful crises, and pathologic involvement of many organs. It is the clinical expression of homozygosity for hemoglobin S.","['Blood disease', 'Genetic disease (inborn)']",Vesicle-mediated transport
MESH:D000756,"Anemia, Sideroblastic",Anemia characterized by the presence of erythroblasts containing excessive deposits of iron in the marrow.,['Blood disease'],Tuberculosis
MESH:D000757,Anencephaly,"A malformation of the nervous system caused by failure of the anterior neuropore to close. Infants are born with intact spinal cords, cerebellums, and brainstems, but lack formation of neural structures above this level. The skull is only partially formed but the eyes are usually normal. This condition may be associated with folate deficiency. Affected infants are only capable of primitive (brain stem) reflexes and usually do not survive for more than two weeks. (From Menkes, Textbook of Child Neurology, 5th ed, p247)","['Congenital abnormality', 'Nervous system disease']",Immune System
MESH:D000782,Aneuploidy,"The chromosomal constitution of cells which deviate from the normal by the addition or subtraction of CHROMOSOMES, chromosome pairs, or chromosome fragments. In a normally diploid cell (DIPLOIDY) the loss of a chromosome pair is termed nullisomy (symbol: 2N-2), the loss of a single chromosome is MONOSOMY (symbol: 2N-1), the addition of a chromosome pair is tetrasomy (symbol: 2N+2), the addition of a single chromosome is TRISOMY (symbol: 2N+1).",['Pathology (process)'],Vesicle-mediated transport
MESH:D000783,Aneurysm,"Pathological outpouching or sac-like dilatation in the wall of any blood vessel (ARTERIES or VEINS) or the heart (HEART ANEURYSM). It indicates a thin and weakened area in the wall which may later rupture. Aneurysms are classified by location, etiology, or other characteristics.",['Cardiovascular disease'],Signaling by Interleukins
MESH:D000787,Angina Pectoris,"The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.","['Cardiovascular disease', 'Signs and symptoms']",Vesicle-mediated transport
MESH:D060050,"Angina, Stable",Persistent and reproducible chest discomfort usually precipitated by a physical exertion that dissipates upon cessation of such an activity. The symptoms are manifestations of MYOCARDIAL ISCHEMIA.,"['Cardiovascular disease', 'Signs and symptoms']",Type II diabetes mellitus
MESH:D000789,"Angina, Unstable","Precordial pain at rest, which may precede a MYOCARDIAL INFARCTION.","['Cardiovascular disease', 'Signs and symptoms']",Unfolded Protein Response (UPR)
MESH:D000799,Angioedema,"Swelling involving the deep DERMIS, subcutaneous, or submucosal tissues, representing localized EDEMA. Angioedema often occurs in the face, lips, tongue, and larynx.","['Cardiovascular disease', 'Immune system disease', 'Skin disease']",Viral myocarditis
MESH:D054179,"Angioedemas, Hereditary",Inherited disorders that are characterized by subcutaneous and submucosal EDEMA in the upper RESPIRATORY TRACT and GASTROINTESTINAL TRACT.,"['Cardiovascular disease', 'Genetic disease (inborn)', 'Immune system disease', 'Skin disease']",Signal Transduction
MESH:D015858,Anisometropia,A condition of an inequality of refractive power of the two eyes.,['Eye disease'],Ub-specific processing proteases
MESH:D000848,Anodontia,"Congenital absence of the teeth; it may involve all (total anodontia) or only some of the teeth (partial anodontia, hypodontia), and both the deciduous and the permanent dentition, or only teeth of the permanent dentition. (Dorland, 27th ed)","['Congenital abnormality', 'Mouth disease']",Molecules associated with elastic fibres
MESH:D000853,Anophthalmos,Congenital absence of the eye or eyes.,"['Congenital abnormality', 'Eye disease']",Visual phototransduction
MESH:D000855,Anorexia,The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat. It is the defining characteristic of the disorder ANOREXIA NERVOSA.,['Signs and symptoms'],VEGFR2 mediated cell proliferation
MESH:D000856,Anorexia Nervosa,"An eating disorder that is characterized by the lack or loss of APPETITE, known as ANOREXIA. Other features include excess fear of becoming OVERWEIGHT; BODY IMAGE disturbance; significant WEIGHT LOSS; refusal to maintain minimal normal weight; and AMENORRHEA. This disorder occurs most frequently in adolescent females. (APA, Thesaurus of Psychological Index Terms, 1994)",['Mental disorder'],Signal Transduction
MESH:D000858,Anovulation,"Suspension or cessation of OVULATION in animals or humans with follicle-containing ovaries (OVARIAN FOLLICLE). Depending on the etiology, OVULATION may be induced with appropriate therapy.","['Endocrine system disease', 'Urogenital disease (female)']",Regulation of gene expression in early pancreatic precursor cells
MESH:D016736,Antiphospholipid Syndrome,"The presence of antibodies directed against phospholipids (ANTIBODIES, ANTIPHOSPHOLIPID). The condition is associated with a variety of diseases, notably systemic lupus erythematosus and other connective tissue diseases, thrombopenia, and arterial or venous thromboses. In pregnancy it can cause abortion. Of the phospholipids, the cardiolipins show markedly elevated levels of anticardiolipin antibodies (ANTIBODIES, ANTICARDIOLIPIN). Present also are high levels of lupus anticoagulant (LUPUS COAGULATION INHIBITOR).",['Immune system disease'],Transcriptional regulation of white adipocyte differentiation
MESH:D000987,Antisocial Personality Disorder,"A personality disorder whose essential feature is a pervasive pattern of disregard for, and violation of, the rights of others that begins in childhood or early adolescence and continues into adulthood. The individual must be at least age 18 and must have a history of some symptoms of CONDUCT DISORDER before age 15. (From DSM-IV, 1994).",['Mental disorder'],Tyrosine metabolism
