DrugID,DrugName,DrugDescription,DrugTarget,DrugPharmacodynamics,DrugSmile,DrugMechanism,DrugConditions,DrugCategories
DB01541,Boldenone,"Boldenone is an anabolic steroid developed for veterinary use, mostly for treatment of horses. It is not indicated for use in humans in the US and is only available through veterinary clinics.",['P10275'],"Boldenone has primarily anabolic activity with low androgenic potency. The drug is commonly used in doping within bodybuilding, even though this use is illegal. If intended to assist in bodybuilding, the drug is taken as part of a steroid stack of other anabolic steroids, usually with a potent androgen like testosterone as the 'base' of the stack. Boldenone is an androgen that differs from 17b-testosterone (17b-T) by only one double bond at the 1-position, and the removal of the methyl group protecting the 17-OH group allows it to be orally active.",[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"Boldenone is a steroid hormone which has androgenic activity. Androgens bind to the androgen receptor, which regulates gene transcription.TargetActionsOrganismAAndrogen receptoragonistHumans",[],"['Anabolic Agents', 'Androstanes', 'Androstenes', 'Androstenols', 'Fused-Ring Compounds', 'Gonadal Hormones', 'Gonadal Steroid Hormones', 'Hormones', 'Hormones, Hormone Substitutes, and Hormone Antagonists', 'Steroids', 'Testosterone and derivatives', 'Testosterone Congeners']"
DB00802,Alfentanil,"Alfentanilis an opioid agonist used to induce and maintain anesthesia, as well as an analgesic.",['P35372'],"Alfentanil is a synthetic opioid analgesic. Alfentanil interacts predominately with the opioid mu-receptor. These mu-binding sites are discretely distributed in the human brain, spinal cord, and other tissues. In clinical settings, alfentanil exerts its principal pharmacologic effects on the central nervous system. Its primary actions of therapeutic value are analgesia and sedation. Alfentanil may increase the patient's tolerance for pain and decrease the perception of suffering, although the presence of the pain itself may still be recognized. In addition to analgesia, alterations in mood, euphoria and dysphoria, and drowsiness commonly occur. Alfentanil depresses the respiratory centers, depresses the cough reflex, and constricts the pupils.",CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,"Opiate receptors are coupled with G-protein receptors and function as both positive and negative regulators of synaptic transmission via G-proteins that activate effector proteins. Binding of the opiate stimulates the exchange of GTP for GDP on the G-protein complex. As the effector system is adenylate cyclase and cAMP located at the inner surface of the plasma membrane, opioids decrease intracellular cAMP by inhibiting adenylate cyclase. Subsequently, the release of nociceptive neurotransmitters such as substance P, GABA, dopamine, acetylcholine and noradrenaline is inhibited. Opioids also inhibit the release of vasopressin, somatostatin, insulin and glucagon. Alfentanil's analgesic activity is, most likely, due to its conversion to morphine. Opioids close N-type voltage-operated calcium channels (OP-receptor agonist) and open calcium-dependent inwardly rectifying potassium channels (OP and OP receptor agonist). This results in hyperpolarization and reduced neuronal excitability.TargetActionsOrganismAMu-type opioid receptoragonistHumans","['General Anesthesia', 'Induction of anesthesia therapy', 'Maintenance of anesthesia therapy', 'Monitored anesthesia care sedation', 'Perioperative analgesia']","['Agents that produce hypertension', 'Analgesics', 'Anesthetics', 'Anesthetics, General', 'Anesthetics, Intravenous', 'Bradycardia-Causing Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 CYP3A5 Substrates', 'Cytochrome P-450 CYP3A7 Substrates', 'Cytochrome P-450 Substrates', 'Fentanyl and fentanyl analogues', 'High-risk opioids', 'Narcotics', 'Nervous System', 'Opiate Agonists', 'Opioid Agonist', 'Opioid Anesthetics', 'Opioids', 'Opioids, Anilidopiperidine', 'P-glycoprotein inhibitors', 'Peripheral Nervous System Agents', 'Phenylpiperidine opioids', 'Piperidines', 'Sensory System Agents', 'Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome']"
DB00813,Fentanyl,"Fentanylis an opioid analgesic used in anesthesia, for breakthrough cancer pain, or round the clock pain management.","['P35372', 'P41143', 'P41145', 'P08183']","Fentanyl produces strong analgesia through its activation of opioid receptors.Label,6It has a duration of action of several hours and a wider therapeutic index as patients develop tolerance to opioids.LabelFentanyl is associated with a risk of addiction and abuse and should not be mixed with alcohol or benzodiazepines.Label,15,16,17,18,19,20,21",CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,"Fentanyl binds to opioid receptors, especially the mu opioid receptor, which are coupled to G-proteins.Activation of opioid receptors causes GTP to be exchanged for GDP on the G-proteins which in turn down regulates adenylate cyclase, reducing concentrations of cAMP.Reduced cAMP decreases cAMP dependant influx of calcium ions into the cell.The exchange of GTP for GDP results in hyperpolarization of the cell and inhibition of nerve activity.TargetActionsOrganismAMu-type opioid receptoragonistHumansADelta-type opioid receptoragonistHumansUKappa-type opioid receptoragonistHumansUP-glycoprotein Not AvailableHumans","['Anesthetic premedication therapy', 'Anesthetics Agent', 'General Anesthesia', 'Induction of anesthesia therapy', 'Maintenance of anesthesia therapy', 'Regional Anesthesia therapy']","['Adjuvants', 'Adjuvants, Anesthesia', 'Agents that produce hypertension', 'Agents that reduce seizure threshold', 'Analgesics', 'Anesthetics', 'Anesthetics, General', 'Anesthetics, Intravenous', 'Antidepressive Agents', 'Bradycardia-Causing Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 CYP3A7 Substrates', 'Cytochrome P-450 Substrates', 'Drugs that are Mainly Renally Excreted', 'Fentanyl and fentanyl analogues', 'High-risk opioids', 'Narcotics', 'Nervous System', 'Neuraxial Anesthetics', 'Opiate Agonists', 'Opioid Agonist', 'Opioid Anesthetics', 'Opioids', 'Opioids, Anilidopiperidine', 'P-glycoprotein inhibitors', 'Peripheral Nervous System Agents', 'Phenylpiperidine opioids', 'Piperidines', 'Sensory System Agents', 'Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome', 'Serotonin Agents', 'Serotonin Modulators']"
DB00319,Piperacillin,"Piperacillinis a penicillin antibiotic combined with tazobactam to treat piperacillin-resistant, piperacillin/tazobactam­ susceptible, β-lactamase generating strains of several bacteria.","['Q75Y35', 'P0A3M6', 'Q8DNB6', 'Q7CRA4']","Piperacillin is a penicillin beta-lactam antibiotic used in the treatment of bacterial infections caused by susceptible, usually gram-positive, organisms. The name ""penicillin"" can either refer to several variants of penicillin available, or to the group of antibiotics derived from the penicillins. Piperacillin hasin vitroactivity against gram-positive and gram-negative aerobic and anaerobic bacteria. The bactericidal activity of Piperacillin results from the inhibition of cell wall synthesis and is mediated through Piperacillin binding to penicillin binding proteins (PBPs). Piperacillin is stable against hydrolysis by a variety of beta-lactamases, including penicillinases, and cephalosporinases and extended spectrum beta-lactamases.",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,"By binding to specific penicillin-binding proteins (PBPs) located inside the bacterial cell wall, Piperacillin inhibits the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins; it is possible that Piperacillin interferes with an autolysin inhibitor.TargetActionsOrganismAPenicillin-binding protein inhibitorStreptococcus pneumoniaeAPenicillin-binding protein BinhibitorStreptococcus pneumoniae (strain ATCC BAA- / R)APenicillin-binding protein ainhibitorStreptococcus pneumoniae (strain ATCC BAA- / R)APenicillin-binding protein binhibitorStreptococcus pneumoniae (strain ATCC BAA- / R)",[],"['Agents that produce neuromuscular block (indirect)', 'Amides', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials for Systemic Use', 'Antiinfectives for Systemic Use', 'Beta-Lactam Antibacterials', 'beta-Lactams', 'Drugs that are Mainly Renally Excreted', 'Extended-spectrum Penicillins', 'Heterocyclic Compounds, Fused-Ring', 'Lactams', 'OAT1/SLC22A6 inhibitors', 'OAT3/SLC22A8 Substrates', 'Penicillin G', 'Penicillins', 'Penicillins With Extended Spectrum', 'Sulfur Compounds']"
DB00294,Etonogestrel,Etonogestrelis a long-acting synthetic derived progestin contraceptive used in various devices such as contraceptive rings and intradermal implants.,['P06401'],"Etonogestrel attains its therapeutic effect inhibiting fertility by impairing the release of the luteinizing hormone which is one of the most important reproductive hormones for ovulation. As well, etonogestrel is known to increase the viscosity of the cervical mucus hindering the passage of the spermatozoa and altering the lining in the uterus to prevent the implantation of the fertilized eggs in the endometrium.7In clinical trials, etonogestrel was implanted and reported to avoid 100% of pregnancies over a three year period. When the implant was removed, normal periods were reinstalled within 90 days in 91% of the individuals. Fertility was established quickly with 20 reported pregnancies within 3 months of implant removal.7The implants of etonogestrel release 40 mcg of etonogestrel daily and they usually provide a continuous contraception effect for 3 years. When the implant is administered, the failure rate is reported to be 0.1%. Some non-contraceptive effects are improved dysmenorrhea.4All data of etonogestrel comes from patients between 80-130% of the body mass.",[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],"Etonogestrel binds with high affinity to the progesterone and estrogen receptors in the target organs.From the target organs, they include the female reproductive tract, mammary gland, hypothalamus, and pituitary. Once bound, this drug changes the synthesis of different proteins which in order decreases the level of gonadotropin-releasing hormone and the luteinizing hormone.TargetActionsOrganismAProgesterone receptoragonistHumans","['Contraception', 'Contraceptive implant therapy']","['Adrenal Cortex Hormones', 'Combination Contraceptives (with Estrogen and derivatives)', 'Contraceptive Agents, Female', 'Contraceptive Agents, Hormonal', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 Substrates', 'Drugs that are Mainly Renally Excreted', 'Fused-Ring Compounds', 'Genito Urinary System and Sex Hormones', 'Hormonal Contraceptives for Systemic Use', 'Hyperglycemia-Associated Agents', 'Intravaginal Contraceptives', 'Norpregnanes', 'Norpregnenes', 'Norsteroids', 'Progesterone Congeners', 'Progestins', 'Reproductive Control Agents', 'Sex Hormones and Modulators of the Genital System', 'Steroids']"
DB00744,Zileuton,Zileutonis a leukotriene synthesis inhibitor used in the prophylaxis and treatment of chronic asthma.,['P09917'],"Zileuton is an asthma drug that differs chemically and pharmacologically from other antiasthmatic agents. It blocks leukotriene synthesis by inhibiting 5-lipoxygenase, an enzyme of the eicosanoid synthesis pathway. Current data indicates that asthma is a chronic inflammatory disorder of the airways involving the production and activity of several endogenous inflammatory mediators, including leukotrienes. Sulfido-peptide leukotrienes (LTC4, LTD4, LTE4, also known as the slow-releasing substances of anaphylaxis) and LTB4, a chemoattractant for neutrophils and eosinophils, are derived from the initial unstable product of arachidonic acid metabolism, leukotriene A4 (LTA4), and can be measured in a number of biological fluids including bronchoalveolar lavage fluid (BALF) from asthmatic patients. In humans, pretreatment with zileuton attenuated bronchoconstriction caused by cold air challenge in patients with asthma.",CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,"Leukotrienes are substances that induce numerous biological effects including augmentation of neutrophil and eosinophil migration, neutrophil and monocyte aggregation, leukocyte adhesion, increased capillary permeability, and smooth muscle contraction. These effects contribute to inflammation, edema, mucus secretion, and bronchoconstriction in the airways of asthmatic patients. Zileuton relieves such symptoms through its selective inhibition of -lipoxygenase, the enzyme that catalyzes the formation of leukotrienes from arachidonic acid. Specifically, it inhibits leukotriene LTB, LTC, LTD, and LTE formation. Both the R(+) and S(-) enantiomers are pharmacologically active as -lipoxygenase inhibitors inin vitrosystems. Due to the role of leukotrienes in the pathogenesis of asthma, modulation of leukotriene formation by interruption of -lipoxygenase activity may reduce airway symptoms, decrease bronchial smooth muscle tone, and improve asthma control.TargetActionsOrganismAArachidonate -lipoxygenaseinhibitorHumans",[],"['Agents to Treat Airway Disease', 'Amides', 'Analgesics', 'Analgesics, Non-Narcotic', 'Anti-Inflammatory Agents', 'Cytochrome P-450 CYP1A2 Inhibitors', 'Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)', 'Cytochrome P-450 CYP1A2 Substrates', 'Cytochrome P-450 CYP2C9 Substrates', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Decreased Leukotriene Production', 'Enzyme Inhibitors', 'Hormone Antagonists', 'Hormones, Hormone Substitutes, and Hormone Antagonists', 'Leukotriene Antagonists', 'Lipoxygenase Inhibitors', 'Peripheral Nervous System Agents', 'Sensory System Agents', 'UGT1A9 Substrates']"
DB00210,Adapalene,"Adapaleneis a third-generation topical retinoid with anti-comedogenic, comedolytic, and anti-inflammatory properties used to treat acne vulgaris in adolescents and adults.","['P10826', 'P13631', 'P28702', 'P48443', 'P19793', 'P05412', 'O60603', 'P10276', 'P17174']","Adapalene is anticomedogenic, preventing the formation of new comedones and inflammatory lesions, and also acts to reduce inflammation by modulating the innate immune response.2Like other retinoid compounds, adapalene is chemically stable but photosensitive; use with sunscreen is recommended. Minor skin irritations, including erythema, scaling, dryness, and stinging/burning, have been reported.8",COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,"Adapalene is used for the treatment/maintenance of mild-to-severe acne (acne vulgaris). Acne is a multifactorial condition, and evidence exists to support multiple mechanisms of action for adapalene. Adapalene binds to retinoic acid receptor (RAR)-beta and RAR-gamma; this complex subsequently binds to one of three retinoid X receptors (RXRs), which as a complex is capable of binding DNA to modulate transcriptional activity.Although the full extent of transcriptional modulation is not described, retinoid activation is generally known to affect cellular proliferation and differentiation, and adapalene has been shown to inhibit HeLa cell proliferation and human keratinocyte differentiation.These effects primarily account for adapalene's comedolytic and anticomedogenic properties.In addition, adapalene modulates the immune response by down-regulating toll-like receptor  (TLR-) expression and inhibiting the transcription factor activator protein  (AP-). TLR- recognizesCutibacterium acnes(formerlyPropionibacterium acnes), the bacterium primarily associated with acne. TLR- activation causes nuclear translocation of AP- and downstream pro-inflammatory gene regulation. Therefore, adapalene has a general anti-inflammatory effect, which reduces inflammation-mediated acne symptoms.When used with benzoyl peroxide, which possesses free radical-mediated bactericidal effects, the combination acts synergistically to reduced comedones and inflammatory lesions.TargetActionsOrganismARetinoic acid receptor betaagonistHumansARetinoic acid receptor gammaagonistHumansARetinoic acid receptor RXR-betaagonistHumansARetinoic acid receptor RXR-gammaagonistHumansARetinoic acid receptor RXR-alphaagonistHumansATranscription factor AP-antagonistHumansAToll-like receptor antagonistHumansURetinoic acid receptor alphaNot AvailableHumansUAspartate aminotransferase, cytoplasmicinhibitorHumans",[],"['Anti-Acne Preparations', 'Anti-Acne Preparations for Topical Use', 'Anti-Inflammatory Agents', 'Dermatologicals', 'Misc. Skin and Mucous Membrane Agents', 'Naphthalenes', 'Retinoids', 'Retinoids for Topical Use in Acne']"
DB04839,Cyproterone acetate,Cyproterone acetateis a steroid used in combination with ethinyl estradiol to treat women with severe acne and symptoms of androgenization. Also used alone at much higher doses for palliative treatment of patients with prostate cancer,"['P10275', 'P07288']",Cyproterone is an antiandrogen. It suppresses the actions of testosterone (and its metabolite dihydrotestosterone) on tissues. It acts by blocking androgen receptors which prevents androgens from binding to them and suppresses luteinizing hormone (which in turn reduces testosterone levels).,[H][C@@]12C[C@]1([H])[C@@]1(C)C(=CC2=O)C(Cl)=C[C@@]2([H])[C@]3([H])CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@]12[H],"The direct antiandrogenic effect of cyproterone is blockage of the binding of dihydrotestosterone to the specific receptors in the prostatic carcinoma cell. In addition, cyproterone exerts a negative feed-back on the hypothalamo-pituitary axis, by inhibiting the secretion of luteinizing hormone resulting in diminished production of testicular testosterone.TargetActionsOrganismAAndrogen receptorantagonistHumansUProstate-specific antigenNot AvailableHumans",['Hormone Replacement Therapy'],"['Adrenal Cortex Hormones', 'Antiandrogens', 'Antiandrogens and Estrogens', 'Antineoplastic Agents', 'Combination Contraceptives (with Estrogen and derivatives)', 'Contraceptive Agents, Female', 'Contraceptive Agents, Male', 'Contraceptives, Oral', 'Cytochrome P-450 CYP3A Inhibitors', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Inhibitors', 'Cytochrome P-450 CYP3A4 Inhibitors (weak)', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Fused-Ring Compounds', 'Genito Urinary System and Sex Hormones', 'Hormonal Contraceptives for Systemic Use', 'Hormone Antagonists', 'Hormones, Hormone Substitutes, and Hormone Antagonists', 'Hyperglycemia-Associated Agents', 'Other Miscellaneous Therapeutic Agents', 'Pregnadienes', 'Pregnanes', 'Progestin Contraceptives', 'Progestins', 'Reproductive Control Agents', 'Sex Hormones and Modulators of the Genital System', 'Steroids', 'Steroids, Chlorinated']"
DB01190,Clindamycin,"Clindamycinis a lincosamide antibiotic used to treat serious infections caused by susceptible anaerobic, streptococcal, staphylococcal, and pneumococcal bacteria.",['Q2G0P0'],"Clindamycin exerts its bacteriostatic effect via inhibition of microbial protein synthesis.8Clindamycin has a relatively short Tmaxand half-life necessitating administration every six hours to ensure adequate antibiotic concentrations.20Clostridium difficileassociated diarrhea (CDAD) has been observed in patients using clindamycin, ranging in severity from mild diarrhea to fatal colitis and occasionally occurring over two months following cessation of antibiotic therapy.15Overgrowth ofC. difficileresulting from antibiotic use, along with its production of A and B toxins, contributes to morbidity and mortality in these patients. Because of the associated risks, clindamycin should be reserved for serious infections for which the use of less toxic antimicrobial agents are inappropriate.15Clindamycin is active against a number of gram-positive aerobic bacteria, as well as both gram-positive and gram-negative anaerobes.14Resistance to clindamycin may develop, and is generally the result of base modification within the 23S ribosomal RNA. Cross-resistance between clindamycin and lincomycin is complete, and may also occur between clindamycin and macrolide antibiotics (e.g.erythromycin) due to similarities in their binding sites.14As antimicrobial susceptibility patterns are geographically distinct, local antibiograms should be consulted to ensure adequate coverage of relevant pathogens prior to use.",[H][C@@](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)([C@H](C)Cl)[C@@]1([H])O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,"Clindamycin inhibits bacterial protein synthesis by binding to S RNA of the S subunit of the bacterial ribosome.It impedes both the assembly of the ribosome and the translation process.The molecular mechanism through which this occurs is thought to be due to clindamycin's three-dimensional structure, which closely resembles the '-ends of L-Pro-Met-tRNA and deacylated-tRNA during the peptide elongation cycle - in acting as a structural analog of these tRNA molecules, clindamycin impairs peptide chain initiation and may stimulate dissociation of peptidyl-tRNA from bacterial ribosomes.The mechanism through which topical clindamycin treats acne vulgaris is unclear, but may be related to its activity againstPropionibacterium acnes, a bacteria that has been associated with acne.TargetActionsOrganismAS ribosomal protein LinhibitorStaphylococcus aureus (strain NCTC )",[],"['Agents that produce neuromuscular block (indirect)', 'Anti-Acne Preparations', 'Anti-Acne Preparations for Topical Use', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials for Systemic Use', 'Antibiotics for Pneumocystis Pneumonia', 'Antiinfectives for Systemic Use', 'Antiinfectives for Treatment of Acne', 'Cytochrome P-450 CYP3A Inhibitors', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Inhibitors', 'Cytochrome P-450 CYP3A4 Inhibitors (moderate)', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 CYP3A5 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Decreased Sebaceous Gland Activity', 'Dermatologicals', 'Enzyme Inhibitors', 'Genito Urinary System and Sex Hormones', 'Glycosides', 'Gynecological Antiinfectives and Antiseptics', 'Lincomycins', 'Lincosamide Antibacterial', 'Lincosamides', 'Macrolides', 'Macrolides, Lincosamides and Streptogramins', 'Neuromuscular Blockade', 'Neurotoxic agents', 'P-glycoprotein substrates', 'Protein Synthesis Inhibitors', 'Pyrrolidines']"
DB00548,Azelaic acid,Azelaic acidis a saturated dicarboxylic acid used to treat mild to moderate acne vulgaris.,"['P66010', 'P51857', 'P31213', 'P14679', 'P00582']","Azelaic acid is a saturated dicarboxylic acid found naturally in wheat, rye, and barley. It is a natural substance that is produced byMalassezia furfur(also known asPityrosporum ovale), a yeast that lives on normal skin. It is effective against a number of skin conditions, such as mild to moderate acne, when applied topically in a cream formulation of 20%. It works in part by stopping the growth of skin bacteria that cause acne, and by keeping skin pores clear. Azelaic acid's antimicrobial action may be attributable to inhibition of microbial cellular protein synthesis.",OC(=O)CCCCCCCC(O)=O,"The exact mechanism of action of azelaic acid is not known. It is thought that azelaic acid manifests its antibacterial effects by inhibiting the synthesis of cellular protein in anaerobic and aerobic bacteria, especiallyStaphylococcus epidermidisandPropionibacterium acnes. In aerobic bacteria, azelaic acid reversibly inhibits several oxidoreductive enzymes including tyrosinase, mitochondrial enzymes of the respiratory chain, thioredoxin reductase, -alpha-reductase, and DNA polymerases. In anaerobic bacteria, azelaic acid impedes glycolysis. Along with these actions, azelaic acid also improves acne vulgaris by normalizing the keratin process and decreasing microcomedo formation. Azelaic acid may be effective against both inflamed and noninflamed lesions. Specifically, azelaic acid reduces the thickness of the stratum corneum, shrinks keratohyalin granules by reducing the amount and distribution of filaggrin (a component of keratohyalin) in epidermal layers, and lowers the number of keratohyalin granules.TargetActionsOrganismAThioredoxin reductaseinhibitorStaphylococcus aureus (strain Mu / ATCC )A-oxo--beta-steroid -dehydrogenaseinhibitorHumansA-oxo--alpha-steroid -dehydrogenase inhibitorHumansATyrosinaseinhibitorHumansADNA polymerase IinhibitorEscherichia coli (strain K)",['Nutritional supplementation'],"['Acids, Acyclic', 'Anti-Acne Preparations', 'Anti-Acne Preparations for Topical Use', 'Decreased Protein Synthesis', 'Decreased Sebaceous Gland Activity', 'Dermatologicals', 'Drugs that are Mainly Renally Excreted', 'Misc. Skin and Mucous Membrane Agents']"
DB00250,Dapsone,"Dapsoneis a sulfone drug used to treat acne vulgaris, Hansen's disease, and dermatitis herpetiformis.","['P0C0X2', 'P0C0X1']","Dapsone is a sulfone with anti-inflammatory immunosuppressive properties as well as antibacterial and antibiotic properties. Dapsone is the principal drug in a multidrug regimen recommended by the World Health Organization for the treatment of leprosy. As an anti-infective agent, it is also used for treating malaria and, recently, for Pneumocystic carinii pneumonia in AIDS patients. Dapsone is absorbed rapidly and nearly completely from the gastrointestinal tract. Dapsone is distributed throughout total body water and is present in all tissues. However, it tends to be retained in skin and muscle and especially in the liver and kidney: traces of the drug are present in these organs up to 3 weeks after therapy cessation.",NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,"Dapsone acts against bacteria and protozoa in the same way as sulphonamides, that is by inhibiting the synthesis of dihydrofolic acid through competition with para-amino-benzoate for the active site of dihydropteroate synthetase. The anti-inflammatory action of the drug is unrelated to its antibacterial action and is still not fully understood.TargetActionsOrganismAInactive dihydropteroate synthase inhibitorMycobacterium leprae (strain TN)ADihydropteroate synthase inhibitorMycobacterium leprae (strain TN)",[],"['Anti-Acne Preparations', 'Anti-Acne Preparations for Topical Use', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibiotics for Pneumocystis Pneumonia', 'Antiinfectives for Systemic Use', 'Antimalarials', 'Antimycobacterials', 'Antiparasitic Agents', 'Antiprotozoals', 'Cytochrome P-450 CYP2C18 Substrates', 'Cytochrome P-450 CYP2C19 Substrates', 'Cytochrome P-450 CYP2C8 Substrates', 'Cytochrome P-450 CYP2C9 Inducers', 'Cytochrome P-450 CYP2C9 Inducers (strength unknown)', 'Cytochrome P-450 CYP2C9 Substrates', 'Cytochrome P-450 CYP2E1 Substrates', 'Cytochrome P-450 CYP3A Substrates', 'Cytochrome P-450 CYP3A4 Substrates', 'Cytochrome P-450 CYP3A5 Substrates', 'Cytochrome P-450 CYP3A7 Substrates', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Substrates', 'Dermatologicals', 'Drugs causing inadvertant photosensitivity', 'Drugs for Treatment of Lepra', 'Enzyme Inhibitors', 'Folic Acid Antagonists', 'Leprostatic Agents', 'Methemoglobinemia Associated Agents', 'Miscellaneous Antimycobacterials', 'Miscellaneous Local Anti-infectives', 'Photosensitizing Agents', 'Sulfones', 'Sulfur Compounds']"
DB04836,Amineptine,"The Food and Drug Administration suspended the marketing authorisation for Survector in 1999 and France withdrew it from the market, however several developing countries continued to produce it up until 2005.","['P23975', 'P31645']",Amineptine is an atypical tricyclic antidepressant.,OC(=O)CCCCCCNC1C2=CC=CC=C2CCC2=CC=CC=C12,"Amineptine selectively inhibits the reuptake of dopamine and to a lesser extent norepinephrine, thus exerting a powerful and fast-acting antidepressant effect.TargetActionsOrganismUSodium-dependent noradrenaline transporterNot AvailableHumansUSodium-dependent serotonin transporterNot AvailableHumans",[],"['Agents that produce hypertension', 'Agents that reduce seizure threshold', 'Antidepressive Agents', 'Antidepressive Agents, Tricyclic', 'Benzocycloheptenes', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Narrow Therapeutic Index Drugs', 'Nervous System', 'Neurotoxic agents', 'Non-Selective Monoamine Reuptake Inhibitors', 'Psychoanaleptics', 'Psychotropic Drugs', 'Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome']"
